requirement_id,target_release,status
ARCH-001,0.1,v0.3 normative; implementation evidence pending
ARCH-002,0.1,v0.3 normative; implementation evidence pending
ATTEST-001,0.1,v0.3 normative; implementation evidence pending
ATTEST-002,0.1,v0.3 normative; implementation evidence pending
ATTEST-003,0.1,v0.3 normative; implementation evidence pending
ATTEST-004,0.1,v0.3 normative; implementation evidence pending
BOOT-001,0.1,v0.3 normative; implementation evidence pending
BOOT-002,0.1,v0.3 normative; implementation evidence pending
BOOT-003,0.1,v0.3 normative; implementation evidence pending
CACHE-001,0.1,v0.3 normative; implementation evidence pending
CELL-001,0.1,v0.3 normative; implementation evidence pending
CELL-002,0.1,v0.3 normative; implementation evidence pending
CELL-003,0.1,v0.3 normative; implementation evidence pending
CELL-004,0.1,v0.3 normative; implementation evidence pending
CELL-005,0.1,v0.3 normative; implementation evidence pending
CELL-006,0.1,v0.3 normative; implementation evidence pending
CELL-007,0.1,v0.3 normative; implementation evidence pending
COMPAT-001,0.1,v0.3 normative; implementation evidence pending
COV-001,0.1,v0.3 normative; implementation evidence pending
COV-002,0.5,v0.3 normative; implementation evidence pending
DATA-001,0.1,v0.3 normative; implementation evidence pending
DATA-002,0.1,v0.3 normative; implementation evidence pending
DATA-003,0.1,v0.3 normative; implementation evidence pending
DATA-004,0.1,v0.3 normative; implementation evidence pending
DATA-005,0.1,v0.3 normative; implementation evidence pending
DB-001,0.1,v0.3 normative; implementation evidence pending
DB-002,0.1,v0.3 normative; implementation evidence pending
DB-003,0.1,v0.3 normative; implementation evidence pending
DB-004,0.1,v0.3 normative; implementation evidence pending
DB-005,0.1,v0.3 normative; implementation evidence pending
DEBUG-001,0.1,v0.3 normative; implementation evidence pending
DUR-001,0.1,v0.3 normative; implementation evidence pending
DUR-002,0.1,v0.3 normative; implementation evidence pending
DUR-003,0.4 design; disabled in 0.1,v0.3 normative; implementation evidence pending
DUR-004,0.1,v0.3 normative; implementation evidence pending
DUR-005,0.1,v0.3 normative; implementation evidence pending
IMG-001,0.1,v0.3 normative; implementation evidence pending
IMG-002,0.1,v0.3 normative; implementation evidence pending
IMG-003,0.1,v0.3 normative; implementation evidence pending
IR-001,0.1,v0.3 normative; implementation evidence pending
IR-002,0.1,v0.3 normative; implementation evidence pending
IR-003,0.1,v0.3 normative; implementation evidence pending
IR-004,0.1,v0.3 normative; implementation evidence pending
IR-005,0.1,v0.3 normative; implementation evidence pending
IR-006,0.1,v0.3 normative; implementation evidence pending
LEASE-001,0.1,v0.3 normative; implementation evidence pending
LEASE-002,0.1,v0.3 normative; implementation evidence pending
LEASE-003,0.1,v0.3 normative; implementation evidence pending
LIFE-001,0.1,v0.3 normative; implementation evidence pending
LIFE-002,0.1,v0.3 normative; implementation evidence pending
LIFE-003,0.1,v0.3 normative; implementation evidence pending
LIFE-004,0.1,v0.3 normative; implementation evidence pending
OBS-001,0.1,v0.3 normative; implementation evidence pending
OBS-002,0.1,v0.3 normative; implementation evidence pending
OBS-003,0.1,v0.3 normative; implementation evidence pending
OUT-001,0.1,v0.3 normative; implementation evidence pending
OUT-002,0.1,v0.3 normative; implementation evidence pending
OUT-003,0.1,v0.3 normative; implementation evidence pending
OUT-004,0.1,v0.3 normative; implementation evidence pending
PERF-001,0.1,v0.3 normative; implementation evidence pending
PERF-002,0.1,v0.3 normative; implementation evidence pending
PERF-003,0.1,v0.3 normative; implementation evidence pending
PERF-004,0.1,v0.3 normative; implementation evidence pending
PERF-005,0.1,v0.3 normative; implementation evidence pending
PERF-006,0.1,v0.3 normative; implementation evidence pending
PI-001,0.1,v0.3 normative; implementation evidence pending
PI-002,0.1,v0.3 normative; implementation evidence pending
PI-003,0.1,v0.3 normative; implementation evidence pending
PI-004,0.1,v0.3 normative; implementation evidence pending
PI-005,0.1,v0.3 normative; implementation evidence pending
POL-001,0.1,v0.3 normative; implementation evidence pending
POL-002,0.1,v0.3 normative; implementation evidence pending
POL-003,0.1,v0.3 normative; implementation evidence pending
PRESS-001,0.1,v0.3 normative; implementation evidence pending
PRESS-002,0.1,v0.3 normative; implementation evidence pending
PRESS-003,0.1,v0.3 normative; implementation evidence pending
PRIV-001,0.1,v0.3 normative; implementation evidence pending
PRIV-002,0.1,v0.3 normative; implementation evidence pending
PRIV-003,0.1,v0.3 normative; implementation evidence pending
PRIV-004,0.1,v0.3 normative; implementation evidence pending
